Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2014","Babesiosis, Cum 2014, flag","Babesiosis, Cum 2013","Babesiosis, Cum 2013, flag","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
E.N. CENTRAL,2014,17,,-,0,,11,,,-,1,,,,
W.N. CENTRAL,2014,17,,-,0,,10,,,-,3,,,,
S. ATLANTIC,2014,17,,-,0,,2,,,-,1,,,,
E.S. CENTRAL,2014,17,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,17,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,17,,-,0,,0,,,-,,-,,,
PACIFIC,2014,17,,-,0,,2,,1,,1,,,,
UNITED STATES,2014,18,2,,18,,147,,28,,43,,,,
NEW ENGLAND,2014,18,,-,5,,82,,16,,25,,,,
MID. ATLANTIC,2014,18,2,,8,,57,,12,,10,,-,,
E.N. CENTRAL,2014,18,,-,0,,11,,,-,2,,,,
W.N. CENTRAL,2014,18,,-,0,,10,,,-,3,,,,
S. ATLANTIC,2014,18,,-,0,,2,,,-,2,,,,
E.S. CENTRAL,2014,18,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,18,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,18,,-,0,,0,,,-,,-,,,
PACIFIC,2014,18,,-,0,,2,,,-,1,,,,
UNITED STATES,2014,19,,-,18,,148,,30,,44,,,,
NEW ENGLAND,2014,19,,-,5,,83,,17,,26,,,,
MID. ATLANTIC,2014,19,,-,8,,57,,12,,10,,-,,
E.N. CENTRAL,2014,19,,-,0,,11,,,-,2,,,,
W.N. CENTRAL,2014,19,,-,0,,10,,,-,3,,,,
S. ATLANTIC,2014,19,,-,0,,2,,,-,2,,,,
